Size	number
1	4153370
2	556063
3	214712
4	114676
5	72581
6	50380
7	34953
8	26148
9	20053
10	15891
11	12754
12	11396
13	10458
14	8540
15	7025
16	6021
17	5079
18	4437
19	3949
20	3546
21	3133
22	2844
23	2616
24	2330
25	2232
26	1999
27	1908
28	1711
29	1633
30	1479
31	1334
32	1312
33	1193
34	1107
35	1060
36	964
37	951
38	887
39	852
40	771
41	767
42	722
43	704
44	637
45	604
46	539
47	602
48	559
49	554
50	473
51	483
52	477
53	437
54	407
55	387
56	412
57	361
58	396
59	349
60	321
61	327
62	369
63	309
64	297
65	298
66	264
67	263
68	277
69	255
70	239
71	261
72	252
73	217
74	215
75	193
76	221
77	209
78	207
79	194
80	177
81	197
82	178
83	180
84	172
85	162
86	126
87	162
88	163
89	144
90	165
91	131
92	110
93	115
94	135
95	130
96	118
97	113
98	127
99	115
100	114
101	113
102	112
103	107
104	121
105	104
106	102
107	96
108	111
109	88
110	103
111	85
112	98
113	87
114	70
115	90
116	101
117	89
118	89
119	80
120	89
121	72
122	68
123	69
124	67
125	84
126	73
127	80
128	71
129	92
130	74
131	81
132	73
133	71
134	56
135	58
136	65
137	53
138	73
139	63
140	52
141	58
142	45
143	71
144	46
145	60
146	51
147	52
148	71
149	65
150	46
151	54
152	56
153	52
154	52
155	44
156	50
157	49
158	44
159	40
160	40
161	41
162	47
163	44
164	40
165	37
166	52
167	50
168	43
169	44
170	42
171	39
172	55
173	41
174	37
175	37
176	40
177	37
181	33
182	33
183	38
184	35
186	33
187	31
190	33
198	35
200	35
204	32
